연도,월,지역명,평당분양가격,전용면적
2016,1,충남,8187.299999999999,60㎡
2016,1,충남,7527.299999999999,60㎡~85㎡
2016,1,충남,8385.3,85㎡~102㎡
2016,1,충남,8065.2,102㎡~
2016,1,전북,6534.0,모든면적
2016,1,전북,6296.4,60㎡
2016,1,전북,6557.099999999999,60㎡~85㎡
2016,1,전북,7844.099999999999,85㎡~102㎡
2016,1,전북,7530.599999999999,102㎡~
2016,1,전남,6299.7,모든면적
2016,1,전남,6596.7,60㎡
2016,1,전남,6289.799999999999,60㎡~85㎡
2016,1,전남,7464.599999999999,85㎡~102㎡
2016,1,전남,7180.799999999999,102㎡~
2016,1,경북,7197.299999999999,모든면적
2016,1,경북,7187.4,60㎡
2016,1,경북,7210.5,60㎡~85㎡
2016,1,경북,8302.8,85㎡~102㎡
2016,1,경북,7741.799999999999,102㎡~
2016,1,경남,7679.099999999999,모든면적
2016,1,경남,7491.0,60㎡
2016,1,경남,7748.4,60㎡~85㎡
2016,1,경남,9652.5,85㎡~102㎡
2016,1,경남,9332.4,102㎡~
2016,1,제주,7484.4,모든면적
2016,1,제주,,60㎡
2016,1,제주,7458.0,60㎡~85㎡
2016,1,제주,8523.9,85㎡~102㎡
2016,1,제주,8494.199999999999,102㎡~
2016,2,서울,20166.3,모든면적
2016,2,서울,21245.399999999998,60㎡
2016,2,서울,19928.7,60㎡~85㎡
2016,2,서울,21492.899999999998,85㎡~102㎡
2016,2,서울,21311.399999999998,102㎡~
2016,2,인천,10533.599999999999,모든면적
2016,2,인천,10982.4,60㎡
2016,2,인천,10269.599999999999,60㎡~85㎡
2016,2,인천,11698.5,85㎡~102㎡
2016,2,인천,11246.4,102㎡~
2016,2,경기,10622.699999999999,모든면적
2016,2,경기,10870.199999999999,60㎡
2016,2,경기,10784.4,60㎡~85㎡
2016,2,경기,11157.3,85㎡~102㎡
2016,2,경기,12107.699999999999,102㎡~
2016,2,부산,10408.199999999999,모든면적
2016,2,부산,9896.699999999999,60㎡
2016,2,부산,10098.0,60㎡~85㎡
2016,2,부산,9758.1,85㎡~102㎡
2016,2,부산,12579.599999999999,102㎡~
2016,2,대구,10111.199999999999,모든면적
2016,2,대구,11025.3,60㎡
2016,2,대구,10160.699999999999,60㎡~85㎡
2016,2,대구,8355.6,85㎡~102㎡
2016,2,대구,9051.9,102㎡~
2016,2,광주,8477.699999999999,모든면적
2016,2,광주,7903.5,60㎡
2016,2,광주,8520.6,60㎡~85㎡
2016,2,광주,,85㎡~102㎡
2016,2,광주,,102㎡~
2016,2,대전,8098.2,모든면적
2016,2,대전,8530.5,60㎡
2016,2,대전,8012.4,60㎡~85㎡
2016,2,대전,8121.299999999999,85㎡~102㎡
2016,2,대전,,102㎡~
2016,2,울산,10051.8,모든면적
2016,2,울산,8527.199999999999,60㎡
2016,2,울산,10074.9,60㎡~85㎡
2016,2,울산,8787.9,85㎡~102㎡
2016,2,울산,9484.199999999999,102㎡~
2016,2,세종,8794.5,모든면적
2016,2,세종,8583.3,60㎡
2016,2,세종,8830.8,60㎡~85㎡
2016,2,세종,8781.3,85㎡~102㎡
2016,2,세종,9081.6,102㎡~
2016,2,강원,7170.9,모든면적
2016,2,강원,7557.0,60㎡
2016,2,강원,7260.0,60㎡~85㎡
2016,2,강원,,85㎡~102㎡
2016,2,강원,7755.0,102㎡~
2016,2,충북,6626.4,모든면적
2016,2,충북,6441.599999999999,60㎡
2016,2,충북,6669.299999999999,60㎡~85㎡
2016,2,충북,7510.799999999999,85㎡~102㎡
2016,2,충북,7461.299999999999,102㎡~
2016,2,충남,7497.599999999999,모든면적
2016,2,충남,8236.8,60㎡
2016,2,충남,7530.599999999999,60㎡~85㎡
2016,2,충남,8385.3,85㎡~102㎡
2016,2,충남,8065.2,102㎡~
2016,2,전북,6534.0,모든면적
2016,2,전북,6296.4,60㎡
2016,2,전북,6557.099999999999,60㎡~85㎡
2016,2,전북,7844.099999999999,85㎡~102㎡
2016,2,전북,7533.9,102㎡~
2016,2,전남,6345.9,모든면적
2016,2,전남,6596.7,60㎡
2016,2,전남,6339.299999999999,60㎡~85㎡
2016,2,전남,7464.599999999999,85㎡~102㎡
2016,2,전남,7180.799999999999,102㎡~
2016,2,경북,7190.7,모든면적
2016,2,경북,7167.599999999999,60㎡
2016,2,경북,7230.299999999999,60㎡~85㎡
2016,2,경북,8355.6,85㎡~102㎡
2016,2,경북,7741.799999999999,102㎡~
2016,2,경남,7781.4,모든면적
2016,2,경남,7791.299999999999,60㎡
2016,2,경남,7837.5,60㎡~85㎡
2016,2,경남,9652.5,85㎡~102㎡
2016,2,경남,8820.9,102㎡~
2016,2,제주,7484.4,모든면적
2016,2,제주,,60㎡
2016,2,제주,7458.0,60㎡~85㎡
2016,2,제주,8523.9,85㎡~102㎡
2016,2,제주,8494.199999999999,102㎡~
2016,3,서울,20370.899999999998,모든면적
2016,3,서울,21615.0,60㎡
2016,3,서울,20219.1,60㎡~85㎡
2016,3,서울,23690.699999999997,85㎡~102㎡
2016,3,서울,21024.3,102㎡~
2016,3,인천,10527.0,모든면적
2016,3,인천,10965.9,60㎡
2016,3,인천,10266.3,60㎡~85㎡
2016,3,인천,11698.5,85㎡~102㎡
2016,3,인천,11246.4,102㎡~
2016,3,경기,10609.5,모든면적
2016,3,경기,11355.3,60㎡
2016,3,경기,10754.699999999999,60㎡~85㎡
2016,3,경기,11097.9,85㎡~102㎡
2016,3,경기,12144.0,102㎡~
2016,3,부산,10487.4,모든면적
2016,3,부산,9738.3,60㎡
2016,3,부산,10236.599999999999,60㎡~85㎡
2016,3,부산,9758.1,85㎡~102㎡
2016,3,부산,12299.099999999999,102㎡~
2016,3,대구,10292.699999999999,모든면적
2016,3,대구,11025.3,60㎡
2016,3,대구,10408.199999999999,60㎡~85㎡
2016,3,대구,8378.699999999999,85㎡~102㎡
2016,3,대구,9051.9,102㎡~
2016,3,광주,8547.0,모든면적
2016,3,광주,8151.0,60㎡
2016,3,광주,8583.3,60㎡~85㎡
2016,3,광주,,85㎡~102㎡
2016,3,광주,,102㎡~
2016,3,대전,8098.2,모든면적
2016,3,대전,8530.5,60㎡
2016,3,대전,8012.4,60㎡~85㎡
2016,3,대전,8121.299999999999,85㎡~102㎡
2016,3,대전,,102㎡~
2016,3,울산,10117.8,모든면적
2016,3,울산,8527.199999999999,60㎡
2016,3,울산,10147.5,60㎡~85㎡
2016,3,울산,8787.9,85㎡~102㎡
2016,3,울산,10088.1,102㎡~
2016,3,세종,8811.0,모든면적
2016,3,세종,8583.3,60㎡
2016,3,세종,8847.3,60㎡~85㎡
2016,3,세종,8811.0,85㎡~102㎡
2016,3,세종,9081.6,102㎡~
2016,3,강원,7240.2,모든면적
2016,3,강원,7421.7,60㎡
2016,3,강원,7329.299999999999,60㎡~85㎡
2016,3,강원,,85㎡~102㎡
2016,3,강원,7755.0,102㎡~
2016,3,충북,6534.0,모든면적
2016,3,충북,6352.5,60㎡
2016,3,충북,6669.299999999999,60㎡~85㎡
2016,3,충북,7510.799999999999,85㎡~102㎡
2016,3,충북,7461.299999999999,102㎡~
2016,3,충남,6979.5,모든면적
2016,3,충남,7345.799999999999,60㎡
2016,3,충남,6976.2,60㎡~85㎡
2016,3,충남,8385.3,85㎡~102㎡
2016,3,충남,8065.2,102㎡~
2016,3,전북,6438.299999999999,모든면적
2016,3,전북,6303.0,60㎡
2016,3,전북,6464.7,60㎡~85㎡
2016,3,전북,7487.7,85㎡~102㎡
2016,3,전북,7566.9,102㎡~
2016,3,전남,6339.299999999999,모든면적
2016,3,전남,6606.599999999999,60㎡
2016,3,전남,6332.7,60㎡~85㎡
2016,3,전남,7464.599999999999,85㎡~102㎡
2016,3,전남,7180.799999999999,102㎡~
2016,3,경북,7190.7,모든면적
2016,3,경북,7170.9,60㎡
2016,3,경북,7230.299999999999,60㎡~85㎡
2016,3,경북,8827.5,85㎡~102㎡
2016,3,경북,7636.2,102㎡~
2016,3,경남,7863.9,모든면적
2016,3,경남,7807.799999999999,60㎡
2016,3,경남,7893.599999999999,60㎡~85㎡
2016,3,경남,10074.9,85㎡~102㎡
2016,3,경남,8728.5,102㎡~
2016,3,제주,7636.2,모든면적
2016,3,제주,,60㎡
2016,3,제주,7636.2,60㎡~85㎡
2016,3,제주,,85㎡~102㎡
2016,3,제주,,102㎡~
